"","bed","bench","cabinet","chair","chest","couch","decoration","desk","diningtable","electronics","hobby","shelf","stool","tableware","wardrobe"
"bed",0,2.37466571147393,2.76495494026586,3.14474996747516,2.66917646241466,1.98157239029245,3.24651116710282,2.82800281939921,2.59545133192063,3.48960004526327,2.91538413220475,2.67878630617908,2.84128682365597,3.2262837576028,2.90017903808831
"bench",2.37466571147393,0,1.72877286101953,2.29032637403108,1.70514397488671,2.06759988730408,2.84805646758876,1.59111609892926,1.17087680751172,3.07521237752697,2.10235266170949,1.74781720385174,1.818249757208,2.97719237348235,1.91887571708397
"cabinet",2.76495494026586,1.72877286101953,0,2.74765490782662,1.04093879269301,2.73481061323504,2.88189965083055,2.03868671050108,1.95712401354831,3.2494740856213,2.59490346379498,1.76923428239646,2.32783169100788,3.20992228901797,0.986675260893852
"chair",3.14474996747516,2.29032637403108,2.74765490782662,0,2.72971431050434,2.69329871479895,3.0958477652918,2.64337127847986,2.48742880274006,3.6010211605743,2.74960050952261,2.80818649499859,1.81848579668978,3.28482932391707,2.99763720172372
"chest",2.66917646241466,1.70514397488671,1.04093879269301,2.72971431050434,0,2.65956163884273,3.00357748337969,1.72582062130016,1.92136195254621,3.27507287833242,2.64105828637099,1.9528385780678,2.3556631895485,3.23322662014372,1.42427357385679
"couch",1.98157239029245,2.06759988730408,2.73481061323504,2.69329871479895,2.65956163884273,0,3.40142035611754,2.60468036156672,2.3123288172412,3.23384804959419,2.70552894076909,2.79502628749327,2.58942087788424,3.17751876535844,2.81992076984956
"decoration",3.24651116710282,2.84805646758876,2.88189965083055,3.0958477652918,3.00357748337969,3.40142035611754,0,3.56805954041822,2.76123747613678,3.72841790528502,2.46893766153063,2.77249308881344,2.39278657480299,2.0174365843426,3.09918766537001
"desk",2.82800281939921,1.59111609892926,2.03868671050108,2.64337127847986,1.72582062130016,2.60468036156672,3.56805954041822,0,1.70159115493113,3.20166595618433,2.67871710741071,2.32278688855389,2.27110051082242,3.60658872566568,2.26870544377244
"diningtable",2.59545133192063,1.17087680751172,1.95712401354831,2.48742880274006,1.92136195254621,2.3123288172412,2.76123747613678,1.70159115493113,0,3.1064553772728,2.11998280750869,1.91873555611065,1.74127097457666,2.78719742928153,2.07365512053634
"electronics",3.48960004526327,3.07521237752697,3.2494740856213,3.6010211605743,3.27507287833242,3.23384804959419,3.72841790528502,3.20166595618433,3.1064553772728,0,2.34300536140194,3.20252051021685,3.48432575447069,3.50140586721069,3.20540228409439
"hobby",2.91538413220475,2.10235266170949,2.59490346379498,2.74960050952261,2.64105828637099,2.70552894076909,2.46893766153063,2.67871710741071,2.11998280750869,2.34300536140194,0,2.3140686843768,2.34306650701638,2.53727368387204,2.57685314965848
"shelf",2.67878630617908,1.74781720385174,1.76923428239646,2.80818649499859,1.9528385780678,2.79502628749327,2.77249308881344,2.32278688855389,1.91873555611065,3.20252051021685,2.3140686843768,0,2.34178081282321,3.09176447516139,1.76567039356459
"stool",2.84128682365597,1.818249757208,2.32783169100788,1.81848579668978,2.3556631895485,2.58942087788424,2.39278657480299,2.27110051082242,1.74127097457666,3.48432575447069,2.34306650701638,2.34178081282321,0,2.62457337366991,2.57552870391222
"tableware",3.2262837576028,2.97719237348235,3.20992228901797,3.28482932391707,3.23322662014372,3.17751876535844,2.0174365843426,3.60658872566568,2.78719742928153,3.50140586721069,2.53727368387204,3.09176447516139,2.62457337366991,0,3.29943676645878
"wardrobe",2.90017903808831,1.91887571708397,0.986675260893852,2.99763720172372,1.42427357385679,2.81992076984956,3.09918766537001,2.26870544377244,2.07365512053634,3.20540228409439,2.57685314965848,1.76567039356459,2.57552870391222,3.29943676645878,0
